,,Price
2023,1106,144.91
2023,1107,130
2023,1108,126.49
2023,1109,132.67
2023,1110,152.48
2023,1111,165
2023,1112,175
2023,1113,161.01
2023,1114,155
2023,1115,150.03
2023,1116,144.14
2023,1117,125.57
2023,1118,127
2023,1119,123.9
2023,1120,133.09
2023,1121,150
2023,1122,158
2023,1123,167.71
2023,1124,159.59
2023,1125,152.48
2023,1126,144.53
2023,1127,123.9
2023,1128,120
2023,1129,114.16
2023,1130,112.56
2023,1131,111.48
2023,1132,110
2023,1133,111.59
2023,1134,117.22
2023,1135,152
2023,1136,158.59
2023,1137,151.44
2023,1138,149.34
2023,1139,135.08
2023,1140,123.78
2023,1141,115.46
2023,1142,115
2023,1143,115.63
2023,1144,118.35
2023,1145,144.66
2023,1146,152.72
2023,1147,162.09
2023,1148,159.54
2023,1149,152.72
2023,1150,150.3
2023,1151,151.71
2023,1152,146.52
2023,1153,134.06
2023,1154,129.49
2023,1155,111.9
2023,1156,111.7
2023,1157,111.7
2023,1158,114.16
2023,1159,118.06
2023,1160,129.82
2023,1161,130
2023,1162,129.82
2023,1163,115
2023,1164,114.16
2023,1165,114.16
2023,1166,111.9
2023,1167,110.92
2023,1168,111.7
2023,1169,130.76
2023,1170,148.63
2023,1171,153.98
2023,1172,156.02
2023,1173,154.22
2023,1174,150.01
2023,1175,146.81
2023,1176,140.01
2023,1177,117.54
2023,1178,110.9
2023,1179,110.4
2023,1180,110
2023,1181,109.92
2023,1182,110.08
2023,1183,116.87
2023,1184,120
2023,1185,119.04
2023,1186,116.38
2023,1187,114.16
2023,1188,110.9
2023,1189,107
2023,1190,104.41
2023,1191,107.83
2023,1192,112.1
2023,1193,141.64
2023,1194,156.55
2023,1195,159.2
2023,1196,153.82
2023,1197,150.04
2023,1198,144.92
2023,1199,134.37
2023,1200,111.5
2023,1201,113.3
2023,1202,110.52
2023,1203,109
2023,1204,108.58
2023,1205,113.3
2023,1206,128.43
2023,1207,156.31
2023,1208,162.56
2023,1209,156.89
2023,1210,149.48
2023,1211,141.08
2023,1212,118.5
2023,1213,117.54
2023,1214,113.5
2023,1215,114
2023,1216,118.5
2023,1217,140.74
2023,1218,153.55
2023,1219,168.72
2023,1220,162.56
2023,1221,154
2023,1222,148.41
2023,1223,148.22
2023,1224,149.35
2023,1225,145.51
2023,1226,141.89
2023,1227,135.03
2023,1228,133.59
2023,1229,146.95
2023,1230,157.54
2023,1231,162.21
2023,1232,167.06
2023,1233,162.16
2023,1234,159
2023,1235,156.18
2023,1236,147.59
2023,1237,135
2023,1238,138.52
2023,1239,130.56
2023,1240,149.26
2023,1241,156.65
2023,1242,160.01
2023,1243,175.61
2023,1244,170
2023,1245,158.8
2023,1246,153.2
2023,1247,142.58
2023,1248,139.9
2023,1249,128
2023,1250,125.3
2023,1251,126.49
2023,1252,126.99
2023,1253,133.05
2023,1254,155.01
2023,1255,161.57
2023,1256,164.5
2023,1257,162.06
2023,1258,154.9
2023,1259,150.01
2023,1260,148
2023,1261,132.64
2023,1262,135.04
2023,1263,123
2023,1264,130
2023,1265,148.06
2023,1266,153.53
2023,1267,164.5
2023,1268,162.06
2023,1269,154.02
2023,1270,153.16
2023,1271,135
2023,1272,135.01
2023,1273,131.77
2023,1274,129.24
2023,1275,124.81
2023,1276,125.2
2023,1277,130
2023,1278,153.82
2023,1279,163.07
2023,1280,162.57
2023,1281,159.33
2023,1282,153.33
2023,1283,144.5
2023,1284,129.54
2023,1285,119.4
2023,1286,116.07
2023,1287,115.27
2023,1288,115.67
2023,1289,123
2023,1290,157.25
2023,1291,164.46
2023,1292,161.25
2023,1293,158.32
2023,1294,151.98
2023,1295,148.78
2023,1296,133.84
2023,1297,128.82
2023,1298,140.7
2023,1299,124.02
2023,1300,120.21
2023,1301,138.68
2023,1302,153.42
2023,1303,160.68
2023,1304,165.45
2023,1305,161.72
2023,1306,160.1
2023,1307,155.22
2023,1308,146.81
2023,1309,142.85
2023,1310,139.54
2023,1311,128
2023,1312,125.74
2023,1313,150.66
2023,1314,160.3
2023,1315,174.18
2023,1316,171.8
2023,1317,160.75
2023,1318,157.3
2023,1319,153.1
2023,1320,158.44
2023,1321,145.3
2023,1322,141.9
2023,1323,133
2023,1324,135
2023,1325,130.86
2023,1326,135.04
2023,1327,150.43
2023,1328,153.98
2023,1329,157.5
2023,1330,152.32
2023,1331,146.96
2023,1332,144.51
2023,1333,129.99
2023,1334,121.18
2023,1335,117.93
2023,1336,119.56
2023,1337,133
2023,1338,153.92
2023,1339,163.34
2023,1340,160.22
2023,1341,155.22
2023,1342,149.3
2023,1343,145.44
2023,1344,136
2023,1345,130
2023,1346,120.8
2023,1347,110.65
2023,1348,107
2023,1349,106.8
2023,1350,107.04
2023,1351,107.7
2023,1352,105.8
2023,1353,93.6
2023,1354,27.48
2023,1355,17.69
2023,1356,17.69
2023,1357,17.69
2023,1358,14
2023,1359,4.16
2023,1360,4.16
2023,1361,17.69
2023,1362,92.7
2023,1363,109.99
2023,1364,136.5
2023,1365,137
2023,1366,116.47
2023,1367,106.5
2023,1368,99.72
2023,1369,97.6
2023,1370,89.98
2023,1371,89.99
2023,1372,90
2023,1373,98
2023,1374,106.4
2023,1375,144.86
2023,1376,149
2023,1377,126.36
2023,1378,100
2023,1379,97.49
2023,1380,97.49
2023,1381,97.49
2023,1382,90
2023,1383,97.6
2023,1384,99.72
2023,1385,107.3
2023,1386,145
2023,1387,163.94
2023,1388,174.49
2023,1389,160.3
2023,1390,153.46
2023,1391,144
2023,1392,134
2023,1393,133
2023,1394,109
2023,1395,107.9
2023,1396,107.7
2023,1397,109.99
2023,1398,143.72
2023,1399,153.42
2023,1400,156.08
2023,1401,149.9
2023,1402,134.4
2023,1403,107.5
2023,1404,106.37
2023,1405,106.37
2023,1406,104.8
2023,1407,105
2023,1408,107.1
2023,1409,133
2023,1410,153.42
2023,1411,170
2023,1412,176.17
2023,1413,165.01
2023,1414,158.41
2023,1415,152.09
2023,1416,145
2023,1417,140
2023,1418,139.64
2023,1419,135.8
2023,1420,131
2023,1421,140.06
2023,1422,155
2023,1423,160.5
2023,1424,164.43
2023,1425,160
2023,1426,147.01
2023,1427,136.2
2023,1428,132
2023,1429,130.47
2023,1430,125.44
2023,1431,121.13
2023,1432,126.15
2023,1433,147.52
2023,1434,151.26
2023,1435,167.09
2023,1436,170.41
2023,1437,163.78
2023,1438,159.97
2023,1439,152.01
2023,1440,145.69
2023,1441,142.49
2023,1442,141.8
2023,1443,140
2023,1444,140
2023,1445,144.52
2023,1446,145.9
2023,1447,155
2023,1448,159.37
2023,1449,145.39
2023,1450,119
2023,1451,119
2023,1452,118.6
2023,1453,119
2023,1454,117
2023,1455,117
2023,1456,118
2023,1457,139
2023,1458,150.52
2023,1459,168.4
2023,1460,184
2023,1461,166.82
2023,1462,160
2023,1463,153.69
2023,1464,147.56
2023,1465,145.79
2023,1466,143.54
2023,1467,143.11
2023,1468,143.62
2023,1469,146.37
2023,1470,152.86
2023,1471,156.99
2023,1472,157
2023,1473,149.13
2023,1474,119.37
2023,1475,119.44
2023,1476,118
2023,1477,117.5
2023,1478,115.5
2023,1479,115.5
2023,1480,120.19
2023,1481,143.84
2023,1482,157
2023,1483,163.24
2023,1484,169
2023,1485,163
2023,1486,158.02
2023,1487,155.76
2023,1488,142.24
2023,1489,137.33
2023,1490,142.1
2023,1491,137.52
2023,1492,136.4
2023,1493,136
2023,1494,134.99
2023,1495,145.39
2023,1496,150
2023,1497,144.89
2023,1498,125.2
2023,1499,124.8
2023,1500,124.42
2023,1501,115
2023,1502,111.9
2023,1503,117.3
2023,1504,123.01
2023,1505,133.24
2023,1506,148.41
2023,1507,165.01
2023,1508,173.2
2023,1509,160.61
2023,1510,149.7
2023,1511,147
2023,1512,144.09
2023,1513,142
2023,1514,147.73
2023,1515,142.47
2023,1516,142.49
2023,1517,143.03
2023,1518,143
2023,1519,141.14
2023,1520,135.54
2023,1521,137.26
2023,1522,133.43
2023,1523,132.89
2023,1524,130
2023,1525,126.15
2023,1526,123.26
2023,1527,131.93
2023,1528,137.75
2023,1529,145.14
2023,1530,148.13
2023,1531,165.01
2023,1532,184.02
2023,1533,167.64
2023,1534,155.42
2023,1535,154.66
2023,1536,149
2023,1537,149.76
2023,1538,144.76
2023,1539,135.97
2023,1540,134
2023,1541,138.7
2023,1542,135
2023,1543,142.01
2023,1544,152.81
2023,1545,150.67
2023,1546,150.87
2023,1547,152.39
2023,1548,149.67
2023,1549,144.76
2023,1550,142.77
2023,1551,144.38
2023,1552,146.99
2023,1553,149.76
2023,1554,150.49
2023,1555,165
2023,1556,172.6
2023,1557,156.5
2023,1558,147.5
2023,1559,140.14
2023,1560,138.1
2023,1561,133
2023,1562,128.35
