,,Availability,ActivationDw,ActivationUp
2023,529,20.48,0.01,41.52
2023,530,20.96,0.01,1.46
2023,531,20.43,0.01,4.16
2023,532,2.07,0.01,20
2023,533,20.36,0.01,31.07
2023,534,19.58,22.25,47
2023,535,13.19,34,77.77
2023,536,14.91,83.26,89.81
2023,537,23.18,50.83,97.62
2023,538,17.96,19.31,69.11
2023,539,17.97,0.01,57.89
2023,540,14.45,0.01,73.19
2023,541,0.15,0.01,83.58
2023,542,1.47,0.01,78.53
2023,543,18.35,1.67,52.05
2023,544,43.52,49.59,33.5
2023,545,26.93,18.69,41.35
2023,546,1.98,81.78,108
2023,547,11.58,64.99,143.48
2023,548,12.01,170.44,136.83
2023,549,11.07,86.78,132.03
2023,550,9.37,68.59,97.56
2023,551,14.54,39.34,78.32
2023,552,1.48,63.11,120.02
2023,553,16.56,26.05,103.8
2023,554,16.32,24.8,64.41
2023,555,17.43,18.46,74.15
2023,556,1.79,38.69,81.28
2023,557,17.76,26.54,93.03
2023,558,1.39,28.47,81.39
2023,559,0.06,48.5,89.94
2023,560,0.05,63.05,100.21
2023,561,1.22,72.67,102.41
2023,562,1.59,68.3,108.02
2023,563,13.22,64.74,126.91
2023,564,11.49,70.4,125.42
2023,565,12.18,72.82,116.78
2023,566,12.19,71.8,97.35
2023,567,13.55,56.63,83.6
2023,568,1.34,17.74,50.48
2023,569,8.25,41.87,71.3
2023,570,0.92,75.23,117.93
2023,571,14.18,79.91,181.95
2023,572,13.91,101.6,197.85
2023,573,0.87,100.06,93.25
2023,574,4.93,64.1,100.95
2023,575,5.48,49.71,102.88
2023,576,10.19,75.03,89.71
2023,577,9.42,85.27,101
2023,578,12.95,72.58,99.23
2023,579,12.67,75.94,91.65
2023,580,12.67,92.53,112.85
2023,581,12.95,69.81,94.65
2023,582,11.62,59.16,61.82
2023,583,4.65,69.56,96.66
2023,584,0.81,79.34,105.77
2023,585,19.61,74.26,105.84
2023,586,1.73,67.67,90.74
2023,587,1.62,57.73,74.23
2023,588,1.47,57.33,87.16
2023,589,14.78,62.94,64.23
2023,590,14.45,61.49,87.21
2023,591,16.95,72.39,87.31
2023,592,16.49,49.27,86.52
2023,593,2.25,55.76,98.54
2023,594,5.72,73.1,97.7
2023,595,12.65,118.09,189.41
2023,596,10.96,75.98,119.5
2023,597,5.48,80.28,102.89
2023,598,0.08,79.1,100.07
2023,599,11.89,62.03,99.31
2023,600,14.86,75.27,120.72
2023,601,16.74,77.61,111.45
2023,602,1.71,68.39,85.63
2023,603,1.72,69.78,105.78
2023,604,1.79,70.08,105.47
2023,605,1.71,58.38,106.19
2023,606,15.18,40.39,110.87
2023,607,10.99,53.95,93.24
2023,608,9.67,56.88,102.92
2023,609,15.68,75.98,103.63
2023,610,13.43,49.83,101.67
2023,611,12.92,73.58,99.01
2023,612,13.44,78.86,127.77
2023,613,12.58,65.97,108.57
2023,614,13.02,50.98,111.26
2023,615,0.14,53.03,77.87
2023,616,1.83,58.62,56.9
2023,617,13.81,58.15,70.75
2023,618,8.24,59.38,95.16
2023,619,5.87,56.15,90.08
2023,620,5.92,60.55,0.01
2023,621,0.09,69.88,99.07
2023,622,10.71,64.6,106.08
2023,623,13.02,65.07,103.78
2023,624,10.79,46.85,64.11
2023,625,1.05,47.73,89.39
2023,626,1.21,41.16,77.58
2023,627,1.14,43.4,82.83
2023,628,1.07,46.5,79.96
2023,629,12.35,35.69,88.88
2023,630,11.97,43.57,78.54
2023,631,1.02,39.75,84.66
2023,632,7.97,53.75,80.91
2023,633,11.75,45.5,64.15
2023,634,1.31,31.96,34.13
2023,635,0.1,23.43,73.13
2023,636,8.51,0,76.8
2023,637,8.66,15.51,60.89
2023,638,9.29,3.26,21.83
2023,639,9.42,13.37,87.2
2023,640,1.03,41.17,71.01
2023,641,15.21,33.47,69.64
2023,642,9.67,43.13,84.91
2023,643,0.95,79.23,94.57
2023,644,0.88,78.76,101.86
2023,645,0.95,46.75,96.5
2023,646,10.75,70.06,97.63
2023,647,9.86,51.57,100.91
2023,648,9.79,37.35,46.18
2023,649,9.29,32.75,73.9
2023,650,7.02,31.95,55.7
2023,651,0.77,28.85,67.73
2023,652,7.71,22.4,66.16
