,,Cost
2021,1144,27.951
2021,1145,31.6995
2021,1146,42.735
2021,1147,55.0935
2021,1148,60.48
2021,1149,50.7885
2021,1150,37.4745
2021,1151,25.998
2021,1152,22.8375
2021,1153,9.3975
2021,1154,5.271
2021,1155,3.927
2021,1156,5.4705
2021,1157,10.71
2021,1158,25.41
2021,1159,37.275
2021,1160,48.4995
2021,1161,50.7465
2021,1162,48.7935
2021,1163,46.2525
2021,1164,42.0105
2021,1165,45.696
2021,1166,39.9
2021,1167,39.9
2021,1168,39.9
2021,1169,49.329
2021,1170,58.506
2021,1171,64.218
2021,1172,63
2021,1173,55.3875
2021,1174,52.9935
2021,1175,46.2525
2021,1176,26.9535
2021,1177,23.625
2021,1178,18.6375
2021,1179,18.375
2021,1180,17.85
2021,1181,18.6375
2021,1182,21
2021,1183,31.5
2021,1184,39.9105
2021,1185,38.2935
2021,1186,26.439
2021,1187,21
2021,1188,17.85
2021,1189,14.7
2021,1190,8.5995
2021,1191,5.271
2021,1192,5.271
2021,1193,15.75
2021,1194,24.2865
2021,1195,40.2465
2021,1196,43.26
2021,1197,39.9105
2021,1198,25.9245
2021,1199,17.892
2021,1200,2.0475
2021,1201,1.995
2021,1202,0.5775
2021,1203,0.462
2021,1204,0.462
2021,1205,0.168
2021,1206,0.168
2021,1207,0.336
2021,1208,1.785
2021,1209,2.0475
2021,1210,1.5645
2021,1211,0.462
2021,1212,0.168
2021,1213,0.168
2021,1214,0.168
2021,1215,0.168
2021,1216,0.168
2021,1217,1.05
2021,1218,2.0475
2021,1219,5.88
2021,1220,9.786
2021,1221,10.5
2021,1222,7.644
2021,1223,5.25
2021,1224,3.675
2021,1225,2.0475
2021,1226,2.0475
2021,1227,2.0475
2021,1228,2.0475
2021,1229,2.0475
2021,1230,2.0475
2021,1231,2.0475
2021,1232,2.0475
2021,1233,2.0475
2021,1234,3.675
2021,1235,6.5415
2021,1236,3.675
2021,1237,7.2975
2021,1238,5.8275
2021,1239,2.1
2021,1240,2.0475
2021,1241,2.0475
2021,1242,7.035
2021,1243,14.07
2021,1244,25.095
2021,1245,23.436
2021,1246,10.5
2021,1247,7.5495
2021,1248,31.5
2021,1249,20.79
2021,1250,20.286
2021,1251,20.79
2021,1252,21
2021,1253,26.355
2021,1254,32.0775
2021,1255,41.454
2021,1256,55.335
2021,1257,57.792
2021,1258,41.9685
2021,1259,37.422
2021,1260,37.275
2021,1261,37.275
2021,1262,34.1355
2021,1263,33.6525
2021,1264,36.8865
2021,1265,47.2815
2021,1266,67.2105
2021,1267,68.964
2021,1268,64.218
2021,1269,60.9105
2021,1270,51.765
2021,1271,46.305
2021,1272,43.7955
2021,1273,42.1365
2021,1274,41.1285
2021,1275,39.6165
2021,1276,39.5115
2021,1277,41.013
2021,1278,45.7065
2021,1279,59.7975
2021,1280,62.181
2021,1281,59.01
2021,1282,52.3635
2021,1283,43.953
2021,1284,41.895
2021,1285,40.845
2021,1286,40.95
2021,1287,35.7105
2021,1288,35.154
2021,1289,42
2021,1290,52.5
2021,1291,60.9315
2021,1292,53.9175
2021,1293,46.7145
2021,1294,42.105
2021,1295,36.981
2021,1296,21.7245
2021,1297,19.0995
2021,1298,18.9525
2021,1299,14.7
2021,1300,11.1825
2021,1301,17.934
2021,1302,19.173
2021,1303,33.558
2021,1304,47.2605
2021,1305,37.4745
2021,1306,32.34
2021,1307,24.822
2021,1308,19.0995
2021,1309,10.605
2021,1310,3.675
2021,1311,2.0475
2021,1312,2.1
2021,1313,15.75
2021,1314,35.7
2021,1315,54.4215
2021,1316,53.6445
2021,1317,45.7695
2021,1318,45.9585
2021,1319,38.535
2021,1320,36.9075
2021,1321,36.834
2021,1322,35.385
2021,1323,34.965
2021,1324,36.8235
2021,1325,40.593
2021,1326,45.255
2021,1327,57.162
2021,1328,56.595
2021,1329,52.3005
2021,1330,44.8245
2021,1331,43.554
2021,1332,42.903
2021,1333,42.1365
2021,1334,44.52
2021,1335,48.5415
2021,1336,53.6235
2021,1337,57.75
2021,1338,63
2021,1339,69.0165
2021,1340,59.7555
2021,1341,56.175
2021,1342,50.862
2021,1343,45.507
2021,1344,47.355
2021,1345,43.89
2021,1346,36.645
2021,1347,35.6475
2021,1348,35.595
2021,1349,42.105
2021,1350,51.45
2021,1351,55.65
2021,1352,59.7135
2021,1353,58.2855
2021,1354,53.13
2021,1355,47.838
2021,1356,46.305
2021,1357,42.1995
2021,1358,40.95
2021,1359,42.147
2021,1360,45.318
2021,1361,53.8965
2021,1362,60.8055
2021,1363,60.4065
2021,1364,57.687
2021,1365,51.0825
2021,1366,48.594
2021,1367,44.8455
2021,1368,42
2021,1369,34.6395
2021,1370,27.8145
2021,1371,26.4075
2021,1372,26.3865
2021,1373,26.3025
2021,1374,25.8825
2021,1375,26.3025
2021,1376,26.4075
2021,1377,29.2425
2021,1378,30.6495
2021,1379,29.2425
2021,1380,29.2425
2021,1381,30.3555
2021,1382,28.5285
2021,1383,26.3025
2021,1384,25.8825
2021,1385,26.4075
2021,1386,30.6495
2021,1387,39.9
2021,1388,47.6805
2021,1389,42
2021,1390,31.5105
2021,1391,27.2055
2021,1392,15.2145
2021,1393,15.1305
2021,1394,14.5005
2021,1395,13.7865
2021,1396,13.8075
2021,1397,14.5005
2021,1398,14.8575
2021,1399,15.1305
2021,1400,14.9205
2021,1401,15.2145
2021,1402,15.1305
2021,1403,14.8575
2021,1404,15.1305
2021,1405,16.6425
2021,1406,16.6425
2021,1407,14.5005
2021,1408,13.4925
2021,1409,14.7
2021,1410,19.95
2021,1411,34.545
2021,1412,42.7665
2021,1413,41.1285
2021,1414,32.8755
2021,1415,27.615
2021,1416,37.149
2021,1417,34.545
2021,1418,28.98
2021,1419,27.93
2021,1420,28.077
2021,1421,28.98
2021,1422,36.099
2021,1423,50.085
2021,1424,52.5
2021,1425,55.8705
2021,1426,52.5
2021,1427,45.255
2021,1428,46.2945
2021,1429,42.357
2021,1430,42.0315
2021,1431,41.034
2021,1432,40.9605
2021,1433,43.302
2021,1434,52.5
2021,1435,67.6095
